A. Lite American Lager,1.028-40,0.998-1.008,2.8-4.2,8-12,2-3
B. Standard American Lager,1.040-50,1.004-10,4.2-5.3,8-15,2-4
C. Premium American Lager,1.046-56,1.008-12,4.6-6.0,15-25,2-6
D. Munich Helles,1.045-51,1.008-12,4.7-5.4,16-22,3-5
E. Dortmunder Export,1.048-56,1.010-15,4.8-6.0,23-30,4-6
A. German Pilsner (Pils),1.044-50,1.008-13,4.4-5.2,25-45,2-5
B. Bohemian Pilsener,1.044-56,1.013-17,4.2-5.4,35-45,3.5-6
C. Classic American Pilsner,1.044-60,1.010-15,4.5-6.0,25-40,3-6
A. Vienna Lager,1.046-52,1.010-14,4.5-5.5,18-30,10-16
B. Oktoberfest/Märzen,1.050-57,1.012-16,4.8-5.7,20-28,7-14
A. Dark American Lager,1.044-56,1.008-12,4.2-6.0,8-20,14-22
B. Munich Dunkel,1.048-56,1.010-16,4.5-5.6,18-28,14-28
C. Schwarzbier,1.046-52,1.010-16,4.4-5.4,22-32,17-30
A. Maibock/Helles Bock,1.064-72,1.011-18,6.3-7.4,23-35,6-11
B. Traditional Bock,1.064-72,1.013-19,6.3-7.2,20-27,14-22
C. Doppelbock,1.072-112,1.016-24,7.0-10.0,16-26,6-25
D. Eisbock,1.078-120,1.020-35,9.0-14.0,25-35,18-30
A. Cream Ale,1.042-55,1.006-12,4.2-5.6,15-20,2.5-5
B. Blonde Ale,1.038-54,1.008-13,3.8-5.5,15-28,3-6
C. Kölsch,1.044-50,1.007-11,4.4-5.2,20-30,3.5-5
D. American Wheat or Rye Beer,1.040-55,1.008-13,4.0-5.5,15-30,3-6
A. North German Altbier,1.046-54,1.010-15,4.5-5.2,25-40,13-19
B. California Common Beer,1.048-54,1.011-14,4.5-5.5,30-45,10-14
C. Düsseldorf Altbier,1.046-54,1.010-15,4.5-5.2,35-50,11-17
A. Standard/Ordinary Bitter,1.032-40,1.007-11,3.2-3.8,25-35,4-14
B. Special Bitter,1.040-48,1.008-12,3.8-4.6,25-40,5-16
C. Extra Special Bitter,1.048-60,1.010-16,4.6-6.2,30-50,6-18
